trial,pairs_cond_entropy,singles_cond_entropy,full_singles_cond_entropy,difference,pairs_better_than_sampled,pairs_better_than_full,pairs_features,singles_features
CONFIG,k=6,n_samples=1000,0.067,H(Y)=0.4252,features=1881,trials=100,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-3677,FULL_DATA_SINGLES_FEATURES
77,0.0662,0.074,0.067,-0.007800000000000001,True,True,hsa-mir-1301|hsa-mir-378a|hsa-mir-328|hsa-mir-92b|hsa-mir-10b|hsa-mir-196a-2,hsa-mir-183|hsa-mir-378a|hsa-mir-10b|hsa-mir-196a-2|hsa-mir-1301|hsa-mir-328
78,0.062,0.0724,0.067,-0.010400000000000006,True,True,hsa-mir-200a|hsa-mir-21|hsa-mir-1301|hsa-mir-190b|hsa-mir-196a-1|hsa-mir-486-1,hsa-mir-139|hsa-mir-190b|hsa-mir-21|hsa-mir-196a-1|hsa-mir-10a|hsa-mir-378a
79,0.059,0.063,0.067,-0.0040000000000000036,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-190b|hsa-mir-301b|hsa-mir-196a-1|hsa-mir-486-2,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-142|hsa-mir-335
80,0.0824,0.078,0.067,0.004400000000000001,False,False,hsa-mir-10b|hsa-mir-378a|hsa-mir-196a-2|hsa-mir-7705|hsa-mir-183|hsa-mir-6854,hsa-mir-1247|hsa-mir-196a-2|hsa-mir-335|hsa-mir-183|hsa-mir-190b|hsa-mir-7705
81,0.0673,0.0771,0.067,-0.009800000000000003,True,False,hsa-mir-1301|hsa-mir-378a|hsa-mir-328|hsa-mir-33b|hsa-mir-155|hsa-mir-196a-1,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-193a|hsa-mir-1301|hsa-mir-378c|hsa-mir-130a
82,0.0799,0.0733,0.067,0.006599999999999995,False,False,hsa-mir-142|hsa-mir-511|hsa-mir-328|hsa-mir-5683|hsa-mir-378c|hsa-mir-98,hsa-mir-139|hsa-mir-190b|hsa-mir-142|hsa-mir-328|hsa-mir-181b-2|hsa-mir-130b
83,0.0595,0.0724,0.067,-0.012900000000000009,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-196a-1|hsa-mir-592|hsa-mir-128-2|hsa-mir-378c,hsa-mir-139|hsa-mir-190b|hsa-mir-21|hsa-mir-196a-1|hsa-mir-10a|hsa-mir-182
84,0.0706,0.0908,0.067,-0.02020000000000001,True,False,hsa-mir-10b|hsa-mir-378c|hsa-mir-190b|hsa-mir-4677|hsa-mir-328|hsa-mir-98,hsa-mir-486-1|hsa-mir-96|hsa-mir-335|hsa-mir-103a-2|hsa-mir-92b|hsa-mir-5586
85,0.0562,0.0738,0.067,-0.017600000000000005,True,True,hsa-mir-183|hsa-mir-21|hsa-mir-196a-2|hsa-mir-452|hsa-mir-144|hsa-mir-3677,hsa-mir-1247|hsa-mir-196a-2|hsa-mir-21|hsa-mir-183|hsa-mir-452|hsa-mir-301b
86,0.0681,0.0734,0.067,-0.005300000000000013,True,False,hsa-mir-1301|hsa-mir-378a|hsa-mir-328|hsa-mir-33b|hsa-mir-144|hsa-mir-196a-1,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-335|hsa-mir-3677|hsa-mir-193a|hsa-mir-93
