trial,pairs_cond_entropy,singles_cond_entropy,full_singles_cond_entropy,difference,pairs_better_than_sampled,pairs_better_than_full,pairs_features,singles_features
CONFIG,k=8,n_samples=1000,-0.0,H(Y)=0.4442,features=19962,trials=100,KRTAP13-4|CILP2|MSRB3|DARS2|LAMP5|MFN2|CSN2|CD9,FULL_DATA_SINGLES_FEATURES
42,0.02,0.0281,-0.0,-0.0081,True,False,CHRNA6|UBE2C|KIF26A|CACFD1|MPPED2|MLIP|CDC42|IER5L,DPP6|ADAM19|CACFD1|KIF26A|MRPL17|CHRNA6|MESD|SNAI1
43,0.0049,0.0091,-0.0,-0.004200000000000001,True,False,MFAP2|TCEAL7|UBE2E3|TDRKH|CAMK1|SAMD11|NIPA1|NEGR1,ADCYAP1R1|COMP|COX7A1|FOXS1|F11R|NFKB2|TRIP10|DNAH9
44,0.0036,0.0059,-0.0,-0.0023,True,False,COMP|LMOD1|H2AZ1|SLC44A4|CUTC|TMEM199|PPP1R12B|SPRR1B,FHL1|COMP|CTF1|SLC44A4|PTTG1|SYN3|YTHDF1|TNFAIP8L1
45,0.0176,0.0227,-0.0,-0.0051,True,False,VCAN|ARHGAP24|HMMR|TPRN|PROKR1|CYP2A6|SULF2|C4orf51,ARHGAP24|VCAN|HMMR|TPRN|EIF4E3|PROKR1|ABT1|LILRA4
46,0.0105,0.0177,-0.0,-0.0072,True,False,RBMS3|BGN|CTF1|ARV1|CCM2L|UBALD1|NELL1|TMEM121B,WSCD2|BGN|CTF1|SMG5|DENND2C|PARM1|SLC29A4|PNKD
47,0.0101,0.0072,-0.0,0.0029,False,False,RUNX1T1|LRRC15|TRIM11|PFKFB3|MMP3|MS4A15|RIMBP3C|LMLN2,RUNX1T1|LRRC15|ACAA2|HDGF|CDK5|TYRO3|CCNO|ADI1
48,0.0061,0.0119,-0.0,-0.0058000000000000005,True,False,CTHRC1|CLMP|ORAI2|TPPP|REM1|RHNO1|SDR16C5|ADAMTSL2,HIF3A|TDRKH|ESYT1|INHBA|ORAI2|ARHGAP24|SLC35F6|SNAPC3
49,0.014,0.0264,-0.0,-0.0124,True,False,SEMA3D|GJB2|TNFRSF9|ODF2|MARCO|KL|KCNK15|UQCRHL,HAGHL|KIF11|COMP|SRPX|GJB2|SLC16A7|SGPL1|MARCO
50,0.0148,0.0265,-0.0,-0.011699999999999999,True,False,ADAM19|ARHGAP24|ODF2|MT1X|NABP2|SEC24D|VAT1|C19orf38,SLC35A2|SEC14L5|ADAM19|ARHGAP24|TBL2|CA12|ASPN|CDON
51,0.0094,0.0164,-0.0,-0.007000000000000001,True,False,SSPN|KIF26B|CENPM|RHBDL1|ATP6V1A|CCL11|CYP2E1|SELENOM,ALG1|TNS2|COMP|IRF7|ARHGEF4|MMP3|TAP2|HOXB8
52,0.0155,0.0143,-0.0,0.0011999999999999997,False,False,BGN|FLRT2|ALG1|MTARC2|MIA2|KLF10|EYA1|TNFRSF18,SCN4A|RHBDL1|FN1|CFAP300|AMOTL1|ICA1|TPPP|TPP1
53,0.0076,0.0143,-0.0,-0.0067,True,False,C3orf80|MME|FGD3|ZBTB4|AAGAB|HCN1|FAM177A1|LSMEM2,PTPN21|C3orf80|APH1A|CLEC3B|FGD3|RNF112|MRPL30|CKMT1A
54,0.0082,0.0112,-0.0,-0.002999999999999999,True,False,CCN4|ECM2|IGF2BP2|CKS1B|MAOB|RAB5C|MISP3|ENPP7,GTF2IRD1|C22orf39|DPEP1|LGI4|CCN4|APOO|EML1|PIP4K2A
55,0.0121,0.0185,-0.0,-0.0063999999999999994,True,False,LOXL1|LMOD1|PARP1|KLF14|PPDPF|ANKRD22|TTC38|TTC14,WSCD2|UNC5B|PARP1|ZBED3|GIMAP6|CLEC4C|GALNT17|CFAP74
56,0.0083,0.0235,-0.0,-0.0152,True,False,FEZ1|PLPP4|RHBDL1|NUF2|VSTM2L|DNAJB4|NFE2L1|SCEL,LRRC3B|RHBDL1|ABHD14B|MFAP2|FEZ1|DNAJB4|PLEKHB2|MLYCD
57,0.0096,0.0253,-0.0,-0.0157,True,False,FN1|MSRB3|MTHFD2|SMIM22|CCN5|ASPN|TBC1D13|FDXACB1,FGF9|FN1|MSRB3|SRMS|STMN1|CCDC195|LEAP2|DUOX2
58,0.0058,0.0204,-0.0,-0.014600000000000002,True,False,RECK|CDH11|ESYT1|TOR3A|GDE1|TMEM54|KIF13A|IL17REL,LRRC3B|BCL9|CC2D2A|CDH11|PFKFB3|MIF4GD|MXD4|IFITM3
59,0.0023,0.0141,-0.0,-0.0118,True,False,CCN4|NKAPL|TNS2|SMIM22|UNC13A|MGAT4C|SUN2|ARL8B,ATP1A2|SLC44A4|CCN4|FEZ2|CBX4|MCRIP2|UBE2Q1|OARD1
