trial,pairs_cond_entropy,singles_cond_entropy,full_singles_cond_entropy,difference,pairs_better_than_sampled,pairs_better_than_full,pairs_features,singles_features
CONFIG,k=8,n_samples=1000,0.0321,H(Y)=0.4252,features=1881,trials=100,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-3677|hsa-mir-6883|hsa-mir-335,FULL_DATA_SINGLES_FEATURES
28,0.039,0.0475,0.0321,-0.0085,True,False,hsa-mir-10b|hsa-mir-378a|hsa-mir-155|hsa-mir-4501|hsa-mir-103a-2|hsa-mir-98|hsa-mir-181c|hsa-mir-365b,hsa-mir-139|hsa-mir-182|hsa-mir-142|hsa-mir-6892|hsa-mir-103a-2|hsa-mir-1468|hsa-mir-155|hsa-mir-6513
29,0.0375,0.0548,0.0321,-0.017300000000000003,True,False,hsa-mir-1301|hsa-mir-378a|hsa-mir-10b|hsa-mir-196a-1|hsa-mir-126|hsa-mir-5586|hsa-mir-203b|hsa-mir-516a-2,hsa-mir-139|hsa-mir-196a-1|hsa-mir-147b|hsa-mir-378a|hsa-mir-10a|hsa-mir-342|hsa-mir-6513|hsa-mir-5586
32,0.0359,0.0396,0.0321,-0.003700000000000002,True,False,hsa-mir-1301|hsa-mir-328|hsa-mir-33b|hsa-mir-378c|hsa-mir-200a|hsa-mir-6892|hsa-mir-155|hsa-mir-2114,hsa-mir-139|hsa-mir-190b|hsa-mir-155|hsa-mir-28|hsa-mir-200c|hsa-mir-451a|hsa-mir-6883|hsa-mir-342
31,0.037,0.0355,0.0321,0.0015000000000000013,False,False,hsa-mir-182|hsa-mir-21|hsa-mir-10b|hsa-mir-342|hsa-mir-378c|hsa-mir-592|hsa-mir-130a|hsa-mir-6762,hsa-mir-21|hsa-mir-182|hsa-mir-33b|hsa-mir-193a|hsa-mir-1301|hsa-mir-145|hsa-mir-378c|hsa-mir-885
30,0.0359,0.0403,0.0321,-0.004400000000000001,True,False,hsa-mir-200a|hsa-mir-21|hsa-mir-1301|hsa-mir-190b|hsa-mir-196a-2|hsa-mir-486-1|hsa-mir-378c|hsa-mir-658,hsa-mir-139|hsa-mir-190b|hsa-mir-21|hsa-mir-196a-2|hsa-mir-155|hsa-mir-200c|hsa-mir-486-1|hsa-mir-6883
33,0.0248,0.037,0.0321,-0.012199999999999999,True,True,hsa-mir-1301|hsa-mir-328|hsa-mir-196a-1|hsa-mir-378c|hsa-mir-28|hsa-mir-301b|hsa-mir-372|hsa-mir-5683,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-335|hsa-mir-3677|hsa-mir-328|hsa-mir-301b|hsa-mir-486-1|hsa-mir-329-1
35,0.0381,0.0375,0.0321,0.0006000000000000033,False,False,hsa-mir-1301|hsa-mir-328|hsa-mir-33b|hsa-mir-378c|hsa-mir-128-2|hsa-mir-193a|hsa-mir-29b-2|hsa-mir-4732,hsa-mir-1301|hsa-mir-328|hsa-mir-452|hsa-mir-33b|hsa-mir-493|hsa-mir-181b-2|hsa-mir-1976|hsa-mir-29b-2
34,0.0351,0.0349,0.0321,0.0001999999999999988,False,False,hsa-mir-182|hsa-mir-21|hsa-mir-10b|hsa-mir-342|hsa-mir-196a-1|hsa-mir-592|hsa-mir-365a|hsa-mir-5699,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-3677|hsa-mir-6883|hsa-mir-200c
37,0.0485,0.0498,0.0321,-0.0012999999999999956,True,False,hsa-mir-10b|hsa-mir-378a|hsa-mir-130b|hsa-mir-328|hsa-mir-190b|hsa-mir-5586|hsa-mir-548ao|hsa-mir-6854,hsa-mir-1247|hsa-mir-10a|hsa-mir-190b|hsa-mir-145|hsa-mir-486-2|hsa-mir-5586|hsa-mir-6854|hsa-mir-3917
36,0.0318,0.0418,0.0321,-0.009999999999999995,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-190b|hsa-mir-301b|hsa-mir-144|hsa-mir-196a-2|hsa-mir-200c|hsa-mir-378c,hsa-mir-139|hsa-mir-190b|hsa-mir-21|hsa-mir-196a-2|hsa-mir-3677|hsa-mir-378a|hsa-mir-181b-2|hsa-mir-6513
