trial,pairs_cond_entropy,singles_cond_entropy,full_singles_cond_entropy,difference,pairs_better_than_sampled,pairs_better_than_full,pairs_features,singles_features
CONFIG,k=6,n_samples=1000,0.0158,H(Y)=0.4442,features=19962,trials=100,KRTAP13-4|CILP2|MSRB3|DARS2|LAMP5|MFN2,FULL_DATA_SINGLES_FEATURES
89,0.0388,0.0458,0.0158,-0.006999999999999999,True,False,COL11A1|ACKR4|PTPN21|PCDH17|SRMS|KRAS,MEOX1|DPEP1|KIF23|C9orf116|DNAJB4|KRAS
90,0.0386,0.0429,0.0158,-0.004299999999999998,True,False,EMCN|CST2|BAK1|PPARGC1A|SEC24D|PSENEN,MAMLD1|BAK1|CST2|ARHGEF15|FBXL16|SCG2
91,0.032,0.0265,0.0158,0.005500000000000001,False,False,ANGPTL2|PLPP4|PIF1|SLC44A4|PDHA1|MAP1LC3C,IRX6|PLPP4|PIF1|GTF3C1|ZNF423|IRF7
92,0.0394,0.046,0.0158,-0.006600000000000002,True,False,IRAG1|C3orf80|SLC16A7|CRYBG2|MTHFD2|TSPAN13,MYOC|MATN3|CTTNBP2|GTF3C1|SGCB|C3orf80
93,0.0289,0.0313,0.0158,-0.002400000000000003,True,False,CXCL12|P4HA3|GTF3C1|IL21R|MFN2|KRTAP13-4,KRTAP13-4|CST2|SH3D19|CLEC5A|LSM1|MAD2L2
94,0.0301,0.0379,0.0158,-0.007800000000000005,True,False,MATN3|MSRB3|SLC20A1|EIF4E3|RNF126|PARP1,MYOC|MATN3|MSRB3|KCTD5|IL21R|OR51E1
95,0.0471,0.0531,0.0158,-0.005999999999999998,True,False,LOXL1|LMOD1|KCTD13|LCAT|PSPH|GJB2,AC026316.4|TPRN|LMOD1|KLK4|PSPH|MT-ND3
96,0.0304,0.0467,0.0158,-0.0163,True,False,MFAP2|NDN|MTHFD2|CBX4|NLRX1|CCDC185,LRRC3B|MFAP2|TUBB6|VANGL1|COL6A6|CBX4
97,0.047,0.0503,0.0158,-0.0032999999999999974,True,False,FERMT2|FAP|PARP1|CCDC69|ADAM19|FBXO46,AC026316.4|RTN4RL2|MTURN|SLC20A1|CFD|BAALC
98,0.0306,0.039,0.0158,-0.008400000000000001,True,False,INHBA|GAS1|PIMREG|TPRN|ELK1|CCL11,WSCD2|INHBA|TMEM145|CCDC137|CCL11|CYP4F12
99,0.034,0.0438,0.0158,-0.009799999999999996,True,False,PRDX4|ANXA9|MAP1LC3B|CST1|CLEC11A|RRM2,MEOX1|CBX4|CST1|AURKA|MAP1LC3B|CA12
100,0.0413,0.0611,0.0158,-0.019799999999999998,True,False,FOXP3|SIRPA|DAAM2|C11orf24|IQCD|IRF7,CBX7|PRRT3|HOGA1|DPP9|GFRA3|FOXP3
