n_features,k,n_samples,sample_id,difference
7,6,500000,36877,0.01
7,6,500000,37263,0.0099999999999999
7,6,500000,37594,0.0499999999999999
7,6,500000,37798,0.0099999999999999
7,6,500000,37857,0.01
7,6,500000,38018,0.0099999999999999
7,6,500000,39522,0.01
7,6,500000,40976,0.01
7,6,500000,41198,0.01
7,6,500000,42160,0.0099999999999999
7,6,500000,42548,0.01
7,6,500000,43656,0.0099999999999999
7,6,500000,44017,0.0099999999999999
7,6,500000,44107,0.01
7,6,500000,44481,0.01
7,6,500000,44570,0.01
7,6,500000,45027,0.0099999999999999
7,6,500000,45354,0.01
7,6,500000,46018,0.01
7,6,500000,46343,0.0099999999999999
7,6,500000,48253,0.01
7,6,500000,48603,0.0099999999999999
7,6,500000,48766,0.0099999999999999
7,6,500000,49774,0.01
7,6,500000,50375,0.0099999999999999
7,6,500000,51050,0.01
7,6,500000,51490,0.01
7,6,500000,51591,0.0199999999999999
7,6,500000,52802,0.01
7,6,500000,54180,0.01
7,6,500000,54299,0.0099999999999999
7,6,500000,56152,0.01
7,6,500000,56434,0.0099999999999999
7,6,500000,56834,0.01
7,6,500000,57150,0.01
7,6,500000,58203,0.01
7,6,500000,58304,0.01
7,6,500000,60043,0.01
7,6,500000,63585,0.01
7,6,500000,64020,0.03
7,6,500000,64251,0.01
7,6,500000,65710,0.01
7,6,500000,66195,0.0199999999999999
7,6,500000,68477,0.0099999999999999
7,6,500000,68715,0.01
7,6,500000,69021,0.01
7,6,500000,69881,0.01
7,6,500000,70255,0.03
7,6,500000,70318,0.01
7,6,500000,71592,0.0099999999999999
7,6,500000,71790,0.0099999999999999
7,6,500000,73159,0.0099999999999999
7,6,500000,73838,0.01
7,6,500000,74591,0.01
7,6,500000,74768,0.01
7,6,500000,75444,0.0099999999999999
7,6,500000,75569,0.01
7,6,500000,77952,0.01
7,6,500000,79072,0.01
7,6,500000,79319,0.01
7,6,500000,79986,0.01
7,6,500000,81840,0.01
7,6,500000,83240,0.01
7,6,500000,86877,0.02
7,6,500000,87103,0.01
7,6,500000,88200,0.01
7,6,500000,89540,0.01
7,6,500000,89895,0.0499999999999999
7,6,500000,91661,0.01
7,6,500000,91999,0.0099999999999999
7,6,500000,93566,0.01
7,6,500000,94313,0.01
7,6,500000,94554,0.01
7,6,500000,95704,0.01
7,6,500000,97322,0.0399999999999999
7,6,500000,98779,0.01
7,6,500000,99735,0.01
7,6,500000,100013,0.01
7,6,500000,101019,0.01
7,6,500000,101225,0.01
7,6,500000,102601,0.03
7,6,500000,103565,0.01
7,6,500000,104795,0.0099999999999999
7,6,500000,105643,0.0099999999999999
7,6,500000,106823,0.01
7,6,500000,107433,0.1
7,6,500000,108308,0.01
7,6,500000,108587,0.01
7,6,500000,109169,0.02
7,6,500000,109329,0.01
7,6,500000,109564,0.01
7,6,500000,110234,0.0099999999999999
7,6,500000,110763,0.0099999999999999
7,6,500000,115614,0.01
7,6,500000,115862,0.01
7,6,500000,118793,0.01
7,6,500000,118840,0.01
7,6,500000,118895,0.02
7,6,500000,121671,0.0299999999999999
7,6,500000,124278,0.01
7,6,500000,125709,0.01
7,6,500000,126776,0.01
7,6,500000,127509,0.01
7,6,500000,128668,0.01
7,6,500000,129935,0.01
7,6,500000,130341,0.01
7,6,500000,131799,0.01
7,6,500000,132456,0.01
7,6,500000,133631,0.01
7,6,500000,134118,0.0099999999999999
7,6,500000,134148,0.0099999999999999
7,6,500000,136630,0.0099999999999999
7,6,500000,139092,0.02
7,6,500000,139509,0.01
7,6,500000,143208,0.0099999999999999
7,6,500000,144071,0.01
7,6,500000,144930,0.0099999999999999
7,6,500000,145525,0.01
7,6,500000,147541,0.01
7,6,500000,148741,0.0099999999999999
7,6,500000,149063,0.01
7,6,500000,149269,0.01
7,6,500000,149807,0.0299999999999999
7,6,500000,150608,0.01
7,6,500000,150846,0.0199999999999999
7,6,500000,151330,0.0099999999999999
7,6,500000,152060,0.01
7,6,500000,152399,0.0099999999999999
7,6,500000,153585,0.01
7,6,500000,154165,0.01
7,6,500000,155047,0.01
7,6,500000,155331,0.0099999999999999
7,6,500000,156267,0.01
7,6,500000,157768,0.01
7,6,500000,158130,0.01
7,6,500000,158775,0.0099999999999999
7,6,500000,158783,0.02
7,6,500000,158853,0.01
7,6,500000,158893,0.0099999999999999
7,6,500000,159242,0.02
7,6,500000,159283,0.01
7,6,500000,160837,0.01
7,6,500000,161429,0.0099999999999999
7,6,500000,162904,0.01
7,6,500000,163747,0.0099999999999999
7,6,500000,164701,0.0099999999999999
7,6,500000,165219,0.01
7,6,500000,166527,0.01
7,6,500000,166756,0.0099999999999999
7,6,500000,167595,0.01
7,6,500000,167824,0.01
7,6,500000,167893,0.0099999999999999
7,6,500000,169002,0.01
7,6,500000,171028,0.0099999999999999
7,6,500000,171353,0.0099999999999999
7,6,500000,171364,0.0099999999999999
7,6,500000,172662,0.0199999999999999
7,6,500000,173282,0.01
7,6,500000,175394,0.01
7,6,500000,176192,0.01
7,6,500000,177650,0.01
7,6,500000,178292,0.02
7,6,500000,178478,0.01
7,6,500000,179643,0.03
7,6,500000,180763,0.0099999999999999
7,6,500000,181002,0.0099999999999999
7,6,500000,181167,0.0099999999999999
7,6,500000,182906,0.01
7,6,500000,185885,0.0099999999999999
7,6,500000,186813,0.01
7,6,500000,187133,0.01
7,6,500000,188096,0.01
7,6,500000,189409,0.01
7,6,500000,190190,0.01
7,6,500000,190227,0.01
7,6,500000,191588,0.01
7,6,500000,191637,0.01
7,6,500000,191988,0.01
7,6,500000,192996,0.01
7,6,500000,193407,0.01
7,6,500000,193879,0.01
7,6,500000,194000,0.01
7,6,500000,194135,0.01
7,6,500000,194730,0.01
7,6,500000,194920,0.01
7,6,500000,195251,0.05
7,6,500000,196658,0.01
7,6,500000,197453,0.02
7,6,500000,201133,0.01
7,6,500000,201336,0.0099999999999999
7,6,500000,206044,0.01
7,6,500000,206337,0.01
7,6,500000,207167,0.01
7,6,500000,207318,0.0099999999999999
7,6,500000,207423,0.0099999999999999
7,6,500000,207585,0.01
7,6,500000,207845,0.0099999999999999
7,6,500000,208846,0.01
7,6,500000,209129,0.01
7,6,500000,209357,0.0099999999999999
7,6,500000,209493,0.01
7,6,500000,209696,0.0099999999999999
7,6,500000,210096,0.0099999999999999
7,6,500000,211204,0.0499999999999999
7,6,500000,213423,0.06
7,6,500000,215272,0.0099999999999999
7,6,500000,215815,0.01
7,6,500000,216727,0.0099999999999999
7,6,500000,219678,0.01
7,6,500000,219800,0.01
7,6,500000,220020,0.01
7,6,500000,220051,0.0099999999999999
7,6,500000,220251,0.03
7,6,500000,221956,0.0099999999999999
7,6,500000,222436,0.01
7,6,500000,222893,0.01
7,6,500000,224019,0.0399999999999999
7,6,500000,224198,0.0099999999999999
7,6,500000,224996,0.0199999999999999
7,6,500000,225325,0.0099999999999999
7,6,500000,226165,0.09
7,6,500000,227002,0.01
7,6,500000,227826,0.01
7,6,500000,228460,0.01
7,6,500000,228558,0.0099999999999999
7,6,500000,229297,0.0099999999999999
7,6,500000,229485,0.01
7,6,500000,229660,0.0099999999999999
7,6,500000,230537,0.0499999999999999
7,6,500000,230736,0.01
7,6,500000,231183,0.01
7,6,500000,232534,0.02
7,6,500000,233217,0.0099999999999999
7,6,500000,234133,0.0099999999999999
7,6,500000,235396,0.02
7,6,500000,235807,0.01
7,6,500000,236864,0.01
7,6,500000,239208,0.0099999999999999
7,6,500000,240525,0.0299999999999999
7,6,500000,243311,0.01
7,6,500000,244933,0.0099999999999999
7,6,500000,246181,0.01
7,6,500000,246251,0.01
7,6,500000,246341,0.01
7,6,500000,247888,0.01
7,6,500000,248585,0.03
7,6,500000,249509,0.01
7,6,500000,250033,0.0099999999999999
7,6,500000,250099,0.01
7,6,500000,251673,0.01
7,6,500000,251732,0.03
7,6,500000,255878,0.02
7,6,500000,256191,0.01
7,6,500000,257198,0.0099999999999999
7,6,500000,257726,0.01
7,6,500000,258376,0.01
7,6,500000,259301,0.0099999999999999
7,6,500000,261088,0.01
7,6,500000,261104,0.03
7,6,500000,262050,0.02
7,6,500000,262675,0.0199999999999999
7,6,500000,263326,0.01
7,6,500000,263732,0.01
7,6,500000,265214,0.01
7,6,500000,265694,0.01
7,6,500000,266336,0.01
7,6,500000,266375,0.01
7,6,500000,267471,0.0099999999999999
7,6,500000,268677,0.0099999999999999
7,6,500000,269254,0.0099999999999999
7,6,500000,271990,0.01
7,6,500000,273578,0.01
7,6,500000,273863,0.0099999999999999
7,6,500000,274826,0.0099999999999999
7,6,500000,275462,0.0099999999999999
7,6,500000,276354,0.0299999999999999
7,6,500000,276438,0.01
7,6,500000,277951,0.0099999999999999
7,6,500000,279552,0.0099999999999999
7,6,500000,280617,0.0099999999999999
7,6,500000,281869,0.01
7,6,500000,282646,0.0099999999999999
7,6,500000,285542,0.01
7,6,500000,286766,0.01
7,6,500000,287848,0.0099999999999999
7,6,500000,288051,0.01
7,6,500000,288742,0.01
