n_features,k,n_samples,sample_id,difference
7,6,10000,584,0.04000000000000001
7,6,10000,590,0.02999999999999997
7,6,10000,591,0.019999999999999962
7,6,10000,594,0.010000000000000009
7,6,10000,598,0.010000000000000009
7,6,10000,603,0.05999999999999997
7,6,10000,604,0.02999999999999997
7,6,10000,606,0.02999999999999997
7,6,10000,607,0.010000000000000009
7,6,10000,610,0.03999999999999998
7,6,10000,612,0.04000000000000001
7,6,10000,614,0.040000000000000036
7,6,10000,615,0.009999999999999981
7,6,10000,619,0.04000000000000001
7,6,10000,620,0.020000000000000018
7,6,10000,621,0.04999999999999999
7,6,10000,624,0.009999999999999953
7,6,10000,626,0.01999999999999999
7,6,10000,628,0.060000000000000026
7,6,10000,637,0.04000000000000001
7,6,10000,641,0.009999999999999953
7,6,10000,642,0.020000000000000018
7,6,10000,643,0.019999999999999962
7,6,10000,649,0.010000000000000009
7,6,10000,650,0.010000000000000009
7,6,10000,657,0.050000000000000044
7,6,10000,661,0.019999999999999962
7,6,10000,663,0.030000000000000027
7,6,10000,664,0.030000000000000027
7,6,10000,665,0.04999999999999999
7,6,10000,666,0.01999999999999999
7,6,10000,673,0.010000000000000009
7,6,10000,674,0.010000000000000009
7,6,10000,681,0.04999999999999999
7,6,10000,682,0.009999999999999953
7,6,10000,684,0.009999999999999953
7,6,10000,687,0.030000000000000027
7,6,10000,688,0.009999999999999953
7,6,10000,690,0.05000000000000002
7,6,10000,697,0.04999999999999999
7,6,10000,704,0.010000000000000009
7,6,10000,705,0.019999999999999962
7,6,10000,706,0.06
7,6,10000,710,0.020000000000000018
7,6,10000,714,0.02999999999999997
7,6,10000,721,0.010000000000000009
7,6,10000,724,0.010000000000000009
7,6,10000,725,0.020000000000000018
7,6,10000,728,0.030000000000000027
7,6,10000,729,0.06
7,6,10000,734,0.020000000000000018
7,6,10000,735,0.020000000000000018
7,6,10000,736,0.030000000000000027
7,6,10000,737,0.020000000000000018
7,6,10000,738,0.01999999999999999
7,6,10000,739,0.03999999999999998
7,6,10000,744,0.020000000000000018
7,6,10000,747,0.02999999999999997
7,6,10000,751,0.040000000000000036
7,6,10000,756,0.019999999999999962
7,6,10000,757,0.009999999999999953
7,6,10000,762,0.010000000000000009
7,6,10000,771,0.010000000000000009
7,6,10000,772,0.020000000000000018
7,6,10000,775,0.010000000000000009
7,6,10000,779,0.010000000000000009
7,6,10000,781,0.010000000000000009
7,6,10000,785,0.03
7,6,10000,787,0.019999999999999962
7,6,10000,789,0.030000000000000027
7,6,10000,792,0.02999999999999997
7,6,10000,793,0.08000000000000002
7,6,10000,801,0.03999999999999998
7,6,10000,802,0.03
7,6,10000,804,0.01999999999999999
7,6,10000,805,0.020000000000000018
7,6,10000,809,0.06
7,6,10000,811,0.030000000000000027
7,6,10000,814,0.010000000000000009
7,6,10000,816,0.040000000000000036
7,6,10000,817,0.010000000000000009
7,6,10000,819,0.010000000000000009
7,6,10000,820,0.010000000000000009
7,6,10000,825,0.010000000000000009
7,6,10000,827,0.02999999999999997
7,6,10000,828,0.020000000000000018
7,6,10000,833,0.020000000000000018
7,6,10000,837,0.019999999999999962
7,6,10000,845,0.010000000000000009
7,6,10000,850,0.019999999999999962
7,6,10000,852,0.010000000000000009
7,6,10000,857,0.03999999999999998
7,6,10000,860,0.019999999999999962
7,6,10000,861,0.009999999999999981
7,6,10000,864,0.020000000000000018
7,6,10000,865,0.010000000000000009
7,6,10000,866,0.020000000000000018
7,6,10000,868,0.04999999999999999
7,6,10000,871,0.03999999999999998
7,6,10000,876,0.03999999999999998
7,6,10000,877,0.04999999999999999
7,6,10000,878,0.04999999999999999
7,6,10000,886,0.020000000000000018
7,6,10000,887,0.03999999999999998
